Data =>
	instName=TWA10A
	optimalValue=-1
	vehicles=-1
	capacity=25
	depotNode=1
	nodes=10
	arcs=7
	edges=8
	requiredN=2
	requiredA=3
	requiredE=6
0		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		
-1		0		3		4		4		7		14		15		9		10		7		
-1		10		0		6		8		11		16		12		13		7		4		
-1		4		6		0		2		5		12		16		7		11		10		
-1		4		7		8		0		3		10		14		5		9		11		
-1		7		10		11		3		0		13		17		8		12		14		
-1		10		11		14		6		3		0		4		5		9		12		
-1		14		15		18		10		7		4		0		9		13		16		
-1		15		6		12		11		8		5		9		0		4		7		
-1		17		7		13		15		12		9		5		14		0		3		
-1		14		4		10		12		15		12		8		17		3		0		
