Data =>
	instName=TWB10A
	optimalValue=-1
	vehicles=-1
	capacity=25
	depotNode=1
	nodes=10
	arcs=7
	edges=8
	requiredN=2
	requiredA=7
	requiredE=2
0		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		
-1		0		3		4		4		7		10		14		9		13		7		
-1		3		0		6		7		10		11		15		6		10		4		
-1		6		6		0		2		5		8		12		7		11		10		
-1		4		7		8		0		3		6		10		5		9		11		
-1		22		19		25		26		0		3		7		25		12		15		
-1		19		16		22		23		26		0		4		22		9		12		
-1		15		12		18		19		22		4		0		18		5		8		
-1		9		6		12		5		8		5		9		0		4		7		
-1		10		7		13		14		17		9		5		13		0		3		
-1		7		4		10		11		14		15		19		10		14		0		
