Data =>
	instName=TWC13B
	optimalValue=-1
	vehicles=-1
	capacity=50
	depotNode=1
	nodes=13
	arcs=12
	edges=11
	requiredN=7
	requiredA=9
	requiredE=6
0		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		
-1		0		3		4		4		7		13		17		9		13		7		11		7		12		
-1		3		0		6		7		10		11		15		6		10		4		14		9		14		
-1		9		6		0		9		6		12		16		12		16		10		10		3		8		
-1		4		7		2		0		3		9		13		5		9		11		7		5		10		
-1		7		10		5		3		0		6		10		8		12		14		4		3		8		
-1		10		13		8		6		3		0		4		11		15		17		7		6		11		
-1		14		17		12		10		7		4		0		15		19		21		3		10		15		
-1		9		6		7		5		8		5		9		0		4		7		12		10		15		
-1		10		7		11		9		12		9		5		4		0		3		8		14		19		
-1		7		4		10		11		14		15		19		10		14		0		18		13		18		
-1		12		15		10		8		5		2		6		13		17		19		0		8		13		
-1		10		10		8		6		3		9		13		11		15		14		7		0		5		
-1		8		5		3		11		8		14		18		11		15		9		12		5		0		
