Data =>
	instName=TWC10A
	optimalValue=-1
	vehicles=-1
	capacity=25
	depotNode=1
	nodes=10
	arcs=10
	edges=5
	requiredN=2
	requiredA=7
	requiredE=2
0		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		
-1		0		10		4		6		9		12		16		16		20		23		
-1		3		0		7		9		12		15		15		6		10		13		
-1		4		6		0		2		5		8		12		12		16		19		
-1		4		14		8		0		3		6		10		11		15		18		
-1		7		14		11		3		0		3		7		8		12		15		
-1		14		11		18		10		13		0		4		5		9		12		
-1		18		15		22		14		17		4		0		9		13		16		
-1		9		6		13		5		8		11		9		0		4		7		
-1		10		7		14		9		12		9		5		4		0		3		
-1		7		4		11		13		16		19		19		10		14		0		
