Data =>
	instName=TWA13C
	optimalValue=-1
	vehicles=-1
	capacity=50
	depotNode=1
	nodes=13
	arcs=13
	edges=10
	requiredN=7
	requiredA=10
	requiredE=5
0		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		
-1		0		3		4		4		7		10		15		9		10		7		11		7		7		
-1		22		0		18		16		19		16		12		11		7		4		15		21		21		
-1		4		6		0		8		6		9		18		13		13		10		10		3		3		
-1		6		8		2		0		3		6		14		5		9		12		7		5		5		
-1		10		12		6		13		0		3		17		8		12		15		4		3		8		
-1		16		11		12		10		13		0		14		5		9		12		17		15		15		
-1		17		15		13		14		7		4		0		9		13		16		3		10		15		
-1		11		6		7		5		8		11		9		0		4		7		12		10		10		
-1		15		7		11		9		12		9		5		4		0		3		8		14		14		
-1		18		4		14		12		15		12		8		7		3		0		11		17		17		
-1		14		13		10		12		4		2		16		7		11		14		0		7		12		
-1		7		9		3		11		3		6		20		11		15		13		7		0		5		
-1		7		5		3		11		8		11		17		16		12		9		12		5		0		
