Data =>
	instName=TWC20B
	optimalValue=-1
	vehicles=-1
	capacity=25
	depotNode=1
	nodes=20
	arcs=16
	edges=15
	requiredN=9
	requiredA=12
	requiredE=8
0		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		
-1		0		4		6		22		16		13		18		15		18		7		11		14		14		11		14		11		7		7		10		4		
-1		4		0		4		20		14		11		16		19		22		11		15		18		18		15		15		7		3		11		14		8		
-1		6		4		0		16		10		7		12		17		20		13		17		20		20		17		19		11		7		13		16		10		
-1		3		7		9		0		2		5		10		15		18		10		14		17		17		14		17		14		10		10		13		7		
-1		15		19		21		12		0		3		8		13		16		19		17		20		25		22		25		26		22		22		25		19		
-1		12		16		18		9		3		0		5		10		13		16		14		17		22		19		22		23		19		19		22		16		
-1		7		11		13		4		6		5		0		5		8		11		9		12		17		14		17		18		14		14		17		11		
-1		7		11		13		9		11		10		5		0		3		6		4		7		12		9		12		18		14		14		17		11		
-1		4		8		10		20		20		17		16		11		0		3		7		10		10		7		10		15		11		11		14		8		
-1		15		19		21		17		19		18		13		8		11		0		4		7		7		4		7		15		19		22		25		19		
-1		11		15		17		13		15		14		9		4		7		10		0		3		8		5		8		16		18		18		21		15		
-1		14		18		20		16		18		17		12		7		10		13		3		0		11		8		11		19		21		21		24		18		
-1		16		20		22		18		20		19		14		9		12		15		5		2		0		3		6		14		18		23		26		20		
-1		19		18		22		21		23		22		17		12		15		18		8		5		3		0		3		11		15		26		29		23		
-1		19		15		19		24		26		25		20		15		18		21		11		8		6		3		0		8		12		26		29		23		
-1		11		7		11		27		21		18		23		23		26		18		19		16		14		11		8		0		4		18		21		15		
-1		7		3		7		23		17		14		19		22		25		14		18		20		18		15		12		4		0		14		17		11		
-1		11		7		11		23		21		18		19		14		17		6		10		13		13		10		7		8		4		0		3		3		
-1		23		19		23		28		30		29		24		19		22		25		15		12		10		7		4		12		16		30		0		27		
-1		14		10		14		20		22		21		16		11		14		3		7		10		10		7		10		11		7		3		6		0		
