Name:		TWs2
Optimal value:	-1
#Vehicles:	-1
Capacity:	150
Depot Node:	1
#Nodes:	140
#Edges:	106
#Arcs:	84
#Required N:	15
#Required E:	38
#Required A:	22

ReN.	DEMAND	S. COST	S. TIME	B. TIME	E. TIME
N6	26	0	52	1744	1755
N28	6	0	12	619	643
N36	20	0	40	1420	1435
N33	13	0	26	707	726
N68	9	0	18	1100	1127
N71	6	0	12	854	876
N73	36	0	72	1104	1130
N82	16	0	32	1451	1476
N84	10	0	20	1037	1061
N87	4	0	8	1171	1177
N108	103	0	206	671	698
N110	7	0	14	1192	1214
N112	13	0	26	1975	2003
N113	12	0	24	870	876
N116	19	0	38	643	664

ReE.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
E1	6	8	10	10	10	10	20	1652	1675
E2	11	12	25	25	25	25	50	844	860
E3	13	14	18	18	18	18	36	983	998
E4	20	22	10	10	10	10	20	1923	1950
E5	20	24	33	33	33	33	66	1417	1438
E6	28	29	5	5	5	5	10	650	662
E7	28	30	5	5	5	5	10	607	610
E8	30	32	28	28	28	28	56	1998	2004
E9	34	139	49	49	49	49	98	1380	1388
E10	36	38	25	25	25	25	50	1189	1218
E11	39	40	18	18	18	18	36	1242	1265
E12	37	43	16	16	16	16	32	1040	1066
E13	34	45	4	4	4	4	8	511	539
E14	48	49	10	10	10	10	20	1824	1834
E15	49	140	24	24	24	24	48	502	502
E16	55	56	4	4	4	4	8	781	810
E17	63	64	9	9	9	9	18	826	842
E18	64	65	15	15	15	15	30	1000	1022
E19	62	66	37	37	37	37	74	1220	1240
E20	71	72	9	9	9	9	18	1423	1433
E21	72	73	18	18	18	18	36	1500	1504
E22	78	79	12	12	12	12	24	960	980
E23	79	80	12	12	12	12	24	1930	1947
E24	85	86	20	20	20	20	40	1494	1521
E25	95	96	8	8	8	8	16	1920	1947
E26	96	97	17	17	17	17	34	636	662
E27	97	98	3	3	3	3	6	1425	1437
E28	102	104	21	21	21	21	42	1391	1399
E29	105	106	15	15	15	15	30	1115	1121
E30	106	107	28	28	28	28	56	700	708
E31	107	108	25	25	25	25	50	1290	1302
E32	107	112	13	13	13	13	26	1495	1506
E33	112	113	4	4	4	4	8	1599	1610
E34	1	116	18	18	18	18	36	1335	1342
E35	2	117	16	16	16	16	32	600	623
E36	124	126	11	11	11	11	22	484	499
E37	126	130	35	35	35	35	70	681	688
E38	11	27	50	50	50	50	100	1450	1479

EDGE	FROM N.	TO N.	T. COST	T. TIME
NrE1	5	6	26	26
NrE2	27	28	6	6
NrE3	36	37	20	20
NrE4	33	139	13	13
NrE5	67	68	9	9
NrE6	69	71	6	6
NrE7	44	73	36	36
NrE8	84	85	10	10
NrE9	108	109	103	103
NrE10	110	111	7	7
NrE11	110	112	13	13
NrE12	116	117	19	19
NrE13	6	7	21	21
NrE14	9	10	12	12
NrE15	10	15	13	13
NrE16	15	16	8	8
NrE17	13	17	6	6
NrE18	13	16	12	12
NrE19	12	20	34	34
NrE20	30	31	41	41
NrE21	29	33	52	52
NrE22	35	37	17	17
NrE23	40	41	12	12
NrE24	38	41	10	10
NrE25	37	42	17	17
NrE26	48	139	49	49
NrE27	50	51	30	30
NrE28	51	52	12	12
NrE29	52	53	12	12
NrE30	53	140	24	24
NrE31	56	57	49	49
NrE32	57	58	20	20
NrE33	59	60	18	18
NrE34	60	61	35	35
NrE35	49	61	13	13
NrE36	57	62	14	14
NrE37	70	71	9	9
NrE38	73	74	5	5
NrE39	75	76	47	47
NrE40	74	76	27	27
NrE41	79	81	9	9
NrE42	82	83	10	10
NrE43	81	83	17	17
NrE44	83	84	18	18
NrE45	88	89	14	14
NrE46	82	92	26	26
NrE47	64	93	28	28
NrE48	63	93	25	25
NrE49	93	94	17	17
NrE50	94	100	17	17
NrE51	94	101	4	4
NrE52	101	102	17	17
NrE53	91	103	27	27
NrE54	106	108	38	38
NrE55	115	117	20	20
NrE56	119	120	14	14
NrE57	122	123	15	15
NrE58	120	123	32	32
NrE59	4	124	67	67
NrE60	126	127	15	15
NrE61	127	128	22	22
NrE62	3	128	41	41
NrE63	128	129	23	23
NrE64	132	133	7	7
NrE65	133	134	10	10
NrE66	136	137	29	29
NrE67	136	138	5	5
NrE68	125	138	20	20

ReA.	From N.	To N.	T. COST	DEMAND	S. COST	T. TIME	S. TIME	B. TIME	E. TIME
A1	9	8	37	37	37	37	74	1858	1863
A2	8	11	48	48	48	48	96	936	959
A3	12	13	12	12	12	12	24	1163	1181
A4	25	24	10	10	10	10	20	626	644
A5	27	25	19	19	19	19	38	426	433
A6	33	11	24	24	24	24	48	1220	1245
A7	38	39	6	6	6	6	12	868	891
A8	43	44	31	31	31	31	62	853	863
A9	45	44	14	14	14	14	28	1692	1719
A10	46	43	5	5	5	5	10	1241	1243
A11	55	54	10	10	10	10	20	1132	1133
A12	63	62	7	7	7	7	14	1843	1868
A13	67	66	33	33	33	33	66	1250	1251
A14	69	67	4	4	4	4	8	1889	1910
