Data =>
	instName=TWA13A
	optimalValue=-1
	vehicles=-1
	capacity=50
	depotNode=1
	nodes=13
	arcs=8
	edges=15
	requiredN=4
	requiredA=7
	requiredE=11
0		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		
-1		0		6		8		8		14		20		36		18		26		32		22		14		14		
-1		6		0		12		14		20		22		30		12		20		26		28		18		10		
-1		12		12		0		4		10		16		42		24		32		38		18		6		6		
-1		8		14		4		0		6		12		40		22		30		36		14		10		10		
-1		14		20		10		6		0		6		34		16		24		30		8		6		16		
-1		20		22		16		12		6		0		28		10		18		24		14		12		22		
-1		28		24		24		20		14		8		0		18		10		16		6		20		30		
-1		18		12		14		10		16		10		18		0		8		14		24		20		20		
-1		20		14		26		28		24		18		10		26		0		6		16		30		24		
-1		14		8		20		22		28		24		16		20		6		0		22		26		18		
-1		22		26		18		14		8		4		32		14		22		28		0		14		24		
-1		18		18		6		10		6		12		40		22		30		36		14		0		10		
-1		18		18		6		10		16		22		48		30		38		44		24		10		0		
