Data =>
	instName=TWB13C
	optimalValue=-1
	vehicles=-1
	capacity=50
	depotNode=1
	nodes=13
	arcs=15
	edges=8
	requiredN=3
	requiredA=12
	requiredE=7
0		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		
-1		0		6		8		8		14		20		28		18		20		14		22		14		14		
-1		6		0		14		14		20		26		24		12		14		8		28		20		10		
-1		18		12		0		26		32		38		36		24		26		20		40		6		6		
-1		22		16		4		0		6		12		20		10		30		24		14		10		10		
-1		28		22		10		6		0		6		14		16		24		30		8		6		16		
-1		28		22		16		12		6		0		10		10		20		30		4		12		22		
-1		36		30		24		20		14		8		0		18		10		38		6		20		30		
-1		18		12		26		26		32		38		36		0		26		20		40		32		22		
-1		26		20		34		30		24		18		10		8		0		28		16		30		30		
-1		32		26		40		36		30		24		16		14		6		0		22		36		36		
-1		42		36		30		26		20		14		6		24		16		44		0		26		36		
-1		26		20		34		34		40		46		44		32		34		28		48		0		10		
-1		16		10		24		24		30		36		34		22		24		18		38		10		0		
