Data =>
	instName=TWB10A
	optimalValue=-1
	vehicles=-1
	capacity=25
	depotNode=1
	nodes=10
	arcs=7
	edges=8
	requiredN=2
	requiredA=7
	requiredE=2
nodes dist:
0		-1		-1		-1		-1		-1		-1		-1		-1		-1		-1		
-1		0		3		4		4		-1		-1		-1		-1		-1		-1		
-1		3		0		6		-1		-1		-1		-1		6		-1		4		
-1		-1		6		0		2		-1		-1		-1		-1		-1		-1		
-1		4		-1		-1		0		3		-1		-1		5		-1		-1		
-1		-1		-1		-1		-1		0		3		-1		-1		-1		-1		
-1		-1		-1		-1		-1		-1		0		4		-1		-1		-1		
-1		-1		-1		-1		-1		-1		4		0		-1		5		-1		
-1		-1		6		-1		5		-1		5		-1		0		4		-1		
-1		-1		-1		-1		-1		-1		-1		5		-1		0		3		
-1		-1		4		-1		-1		-1		-1		-1		-1		-1		0		
